white_pawns,white_rooks,white_knights,white_bishops,white_queens,white_kings,black_pawns,black_rooks,black_knights,black_bishops,black_queens,black_kings,turn,score
1342673920,258,4,2147483656,32,2048,4056098394865664,144115188075855872,0,612489549322387456,2305843009213693952,1152921504606846976,1,901.0000000000000000
1342673920,258,4,2147483656,32,2048,4056098394865664,144115188075855872,0,612489549322387456,536870912,1152921504606846976,0,845.0000000000000000
1074305536,562949953421314,4,131072,0,1048576,44121202599395328,72057594037927936,-8935141660703064064,4611686022722355200,2305843009213693952,576460752303423488,1,-999.0000000000000000
9506048,512,0,0,0,8192,36258079553093632,0,1152921504606846976,35184372088832,0,1125899906842624,0,-191.0000000000000000
130560,258,131200,35184380477440,32,16,62628457196027904,288230376151711745,-9223369837831520256,5188146770730811392,2305843009213693952,9007199254740992,0,112.0000000000000000
1076335616,258,132,17179869192,32,2048,44579698948177920,144115188075855873,283673999966208,5188146770730811392,2305843009213693952,1152921504606846976,1,23.0000000000000000
13733376,258,35184372613120,262144,32,16,46892521657204736,144115188075855873,288230376151711744,4611690416473899008,2305843009213693952,4503599627370496,1,33.0000000000000000
4399120618496,33554688,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,68719476736,0,665.0000000000000000
9506048,64,68719476736,0,0,8192,45194910063656960,512,4503599627370496,4611686018427387904,0,576460752303423488,0,-281.0000000000000000
9506560,2,536870912,0,0,8192,45203671864049664,144115188075855936,288230376151711744,4611686018427387904,0,576460752303423488,0,-853.0000000000000000
1074305536,562949953421320,67108864,131072,0,1048576,8092405580431360,72057594037927936,288230378299195392,36028801313931264,2305843009213693952,576460752303423488,1,-900.0000000000000000
1074305536,562949953421314,4,131072,0,1048576,44121202599395328,72057594037927936,288230378299195392,4611686022722355200,2305843009213693952,576460752303423488,0,-1039.0000000000000000
9506048,64,4398046511104,0,0,8192,45194910063656960,512,4503599627370496,4611686018427387904,0,576460752303423488,1,-294.0000000000000000
805375488,258,16777220,4194312,1048576,16,122726422740467712,134217729,-8935141660703064064,5188146770730811392,0,1152921504606846976,1,693.0000000000000000
13733376,258,524288,18014398509481984,0,16,45208069843451904,144115188075855873,288230376151711744,4611686018427387904,0,576460752303423488,1,87.0000000000000000
1342673920,258,4,8200,32,2048,40084895413829632,144115188075855872,2147483648,5188146770730811392,2305843009213693952,1152921504606846976,1,483.0000000000000000
9506048,64,1152921504606846976,0,0,8192,36258079553093632,512,35184372088832,4611686018427387904,0,1125899906842624,0,-333.0000000000000000
9547264,258,268959744,262152,32,16,47173446878101504,144115188075855873,288230925907525632,5188146770730811392,2305843009213693952,1152921504606846976,1,28.0000000000000000
1342673920,258,4,8,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,2251799813685248,0,588.0000000000000000
34896678400,258,68719476740,4194312,134217728,16,86697591361765376,0,2305843009213693953,36591746972385280,0,1152921504606846976,1,1893.0000000000000000
1342673920,258,4,1048576,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,17592186044416,0,631.0000000000000000
13700864,2,524288,0,0,32,45203671864049664,144115188344291328,288230376151711744,4611686018427387904,0,576460752303423488,0,-777.0000000000000000
9506048,64,4398046511104,0,0,8192,45194910063656960,512,4503599627370496,4611686018427387904,0,1125899906842624,0,-295.0000000000000000
